TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
edu.osu.cs362.App,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9527000316255534,275,268
edu.osu.cs362.App,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9993131868131868,258,257
edu.osu.cs362.App,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9993243243243244,269,268
